,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
257,0.815,0.757,10,-6.16,0,0.039,0.382,3.28e-06,0.147,0.734,104.986,209680,4
258,0.676,0.91,9,-5.096,1,0.132,0.257,0.0,0.153,0.716,120.022,216787,4
259,0.741,0.739,2,-5.863,1,0.142,0.268,4.78e-05,0.405,0.765,81.002,262360,4
260,0.718,0.892,9,-3.494,0,0.0404,0.00175,0.0145,0.138,0.828,124.98,263973,4
261,0.69,0.79,1,-6.628,0,0.0864,0.211,0.0,0.106,0.869,172.054,240733,4
262,0.679,0.713,8,-6.625,1,0.0499,0.0226,0.17,0.239,0.882,173.995,201947,4
263,0.785,0.881,8,-4.205,0,0.0505,0.212,0.0,0.753,0.729,113.999,239493,4
264,0.701,0.896,0,-6.459,1,0.0814,0.0866,0.0,0.0572,0.896,130.067,198387,4
265,0.855,0.912,10,-4.832,0,0.145,0.183,0.0,0.122,0.885,104.072,157023,4
266,0.807,0.647,11,-6.341,0,0.0638,0.46,0.0,0.0937,0.933,89.998,213667,4
267,0.592,0.703,0,-6.696,0,0.138,0.0337,0.0,0.0894,0.882,81.231,255904,4
268,0.788,0.775,6,-3.554,0,0.093,0.076,0.0,0.123,0.454,95.104,168520,4
269,0.796,0.68,10,-5.555,0,0.37,0.0575,0.000683,0.103,0.71,179.923,176143,4
270,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,178947,4
271,0.635,0.706,5,-3.224,0,0.125,0.256,0.0,0.108,0.443,88.863,209160,4
