,title,artists,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
40,Gasolina,Daddy Yankee,spotify:track:6jEZLz3YpnEBRpVkv35AmP,0.857,0.801,0,-6.499,1,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,192600,4
41,Si No Le Contesto,Plan B,spotify:track:3XaWuYsTtnkzCSBr0RmROc,0.846,0.747,1,-5.074,0,0.0533,0.0947,0.0,0.159,0.517,95.003,220057,4
42,¿Qué Tengo Que Hacer?,Daddy Yankee,spotify:track:0nssGbqC6ZSMx0OliWCkHk,0.76,0.893,10,-3.913,0,0.0639,0.0758,8.21e-05,0.321,0.948,107.994,218507,4
43,Guaya Guaya,Don Omar,spotify:track:79zvVrn65ksbiGQxrtV4I5,0.788,0.873,7,-2.322,1,0.117,0.00607,0.00052,0.0908,0.703,91.981,193613,4
44,Pobre Diabla,Don Omar,spotify:track:7gxVgMixTYh4NXiNMao4s2,0.741,0.787,5,-6.228,1,0.0525,0.217,0.0179,0.0835,0.771,91.993,255680,4
45,Dale Don Dale,Don Omar,spotify:track:1PZrHbJjt5t7dP9OGRxcD0,0.831,0.818,2,-7.827,1,0.0825,0.0242,0.000336,0.0892,0.807,95.023,212413,4
46,El Señor de la Noche,Don Omar,spotify:track:7o5V0BUS9x8zdXMb2CiGpi,0.725,0.88,10,-3.74,1,0.118,0.066,0.0,0.156,0.683,95.965,204174,4
47,Yo No Soy Tu Marido,Nicky Jam,spotify:track:10bbgurV9w05vJVGAX9jYq,0.807,0.643,10,-7.347,0,0.0522,0.0707,5.61e-05,0.0865,0.821,94.983,199368,4
48,Reggaetón en lo Oscuro,Wisin & Yandel,spotify:track:7LLXLd0pisbEAdIVK502VM,0.747,0.898,1,-3.683,1,0.0709,0.0613,1.66e-06,0.0886,0.689,91.97,208947,4
49,Me enamoré - Feeling of Love,Xriz,spotify:track:4wPrE3gGDXUsymRJ1MaDoV,0.575,0.862,11,-3.889,0,0.0787,0.0274,0.0,0.302,0.681,130.05,219505,4
50,Es un Secreto,Plan B,spotify:track:0R7DSnSibvuE4PEHqUayqf,0.836,0.777,6,-5.376,0,0.0439,0.0951,1.68e-06,0.0561,0.504,94.977,190564,4
51,Choca,Plan B,spotify:track:1hiKRqR0jox7OI7aweq7Sj,0.858,0.835,4,-4.852,0,0.122,0.225,5.76e-06,0.0613,0.466,88.0,220987,4
52,Donde Estan Las Gatas (feat. Nicky Jam),Daddy Yankee,spotify:track:3Kemg5QPEhEjOiWUFrTkXX,0.836,0.961,7,-2.679,0,0.0635,0.194,0.0,0.074,0.76,109.957,170006,4
54,Llamado de Emergencia,Daddy Yankee,spotify:track:3bkBVEmRJuJZNh5iVgJkWm,0.699,0.91,4,-4.405,0,0.036,0.217,2.66e-06,0.146,0.792,97.971,239920,4
55,Noche de Travesuras,"Héctor ""El Father""",spotify:track:1x2l87hu1rrlS7xCBEy6Nk,0.83,0.622,9,-8.343,1,0.204,0.384,0.0,0.0677,0.428,92.017,208894,4
57,Noche De Sexo,Wisin & Yandel,spotify:track:4kAtRwNRLMKuoCbxMSxUGI,0.686,0.722,2,-5.4,1,0.256,0.108,0.0,0.494,0.515,94.006,205707,4
59,Ley Seca,Jhayco,spotify:track:3JCaq3KDSROg3TXhdiDa9n,0.759,0.842,8,-3.758,1,0.096,0.101,0.0,0.134,0.584,105.059,263253,4
61,Dos Opciones,Lyanno,spotify:track:3qIpCIYX31M7RWjkIGaX5l,0.783,0.7,7,-4.726,1,0.179,0.235,0.0,0.0861,0.53,160.013,224405,4
